18_081320_220624_15.json, /root/, 구문오류, root, 속성 이름 'Scene_meta'와 연결된 스키마에 대해 유효성을 검사하지 못했습니다.
18_081320_220624_16.json, /root/Scene_meta/edge_case/1/, 구문오류, 편향주행, enum 값과 일치하지 못했습니다.
18_081320_220624_16.json, /root/Scene_meta/edge_case/, 구문오류, edge_case, 배열에서 항목 #1 의 유효성을 검사하지 못했습니다.
18_081320_220624_16.json, /root/Scene_meta/, 구문오류, Scene_meta, 속성 이름 'edge_case'와 연결된 스키마에 대해 유효성을 검사하지 못했습니다.
18_081320_220624_16.json, /root/, 구문오류, root, 속성 이름 'Scene_meta'와 연결된 스키마에 대해 유효성을 검사하지 못했습니다.
18_081320_220624_27.json, /root/Scene_meta/edge_case/1/, 구문오류, 편향주행, enum 값과 일치하지 못했습니다.
18_081320_220624_27.json, /root/Scene_meta/edge_case/, 구문오류, edge_case, 배열에서 항목 #1 의 유효성을 검사하지 못했습니다.
18_081320_220624_27.json, /root/Scene_meta/, 구문오류, Scene_meta, 속성 이름 'edge_case'와 연결된 스키마에 대해 유효성을 검사하지 못했습니다.
18_081320_220624_27.json, /root/, 구문오류, root, 속성 이름 'Scene_meta'와 연결된 스키마에 대해 유효성을 검사하지 못했습니다.
18_081320_220624_28.json, /root/Scene_meta/edge_case/1/, 구문오류, 편향주행, enum 값과 일치하지 못했습니다.
18_081320_220624_28.json, /root/Scene_meta/edge_case/, 구문오류, edge_case, 배열에서 항목 #1 의 유효성을 검사하지 못했습니다.
18_081320_220624_28.json, /root/Scene_meta/, 구문오류, Scene_meta, 속성 이름 'edge_case'와 연결된 스키마에 대해 유효성을 검사하지 못했습니다.
18_081320_220624_28.json, /root/, 구문오류, root, 속성 이름 'Scene_meta'와 연결된 스키마에 대해 유효성을 검사하지 못했습니다.
18_081320_220624_29.json, /root/Scene_meta/edge_case/1/, 구문오류, 편향주행, enum 값과 일치하지 못했습니다.
18_081320_220624_29.json, /root/Scene_meta/edge_case/, 구문오류, edge_case, 배열에서 항목 #1 의 유효성을 검사하지 못했습니다.
18_081320_220624_29.json, /root/Scene_meta/, 구문오류, Scene_meta, 속성 이름 'edge_case'와 연결된 스키마에 대해 유효성을 검사하지 못했습니다.
18_081320_220624_29.json, /root/, 구문오류, root, 속성 이름 'Scene_meta'와 연결된 스키마에 대해 유효성을 검사하지 못했습니다.
18_081320_220624_30.json, /root/Scene_meta/edge_case/1/, 구문오류, 편향주행, enum 값과 일치하지 못했습니다.
18_081320_220624_30.json, /root/Scene_meta/edge_case/, 구문오류, edge_case, 배열에서 항목 #1 의 유효성을 검사하지 못했습니다.
18_081320_220624_30.json, /root/Scene_meta/, 구문오류, Scene_meta, 속성 이름 'edge_case'와 연결된 스키마에 대해 유효성을 검사하지 못했습니다.
18_081320_220624_30.json, /root/, 구문오류, root, 속성 이름 'Scene_meta'와 연결된 스키마에 대해 유효성을 검사하지 못했습니다.
18_081320_220624_31.json, /root/Scene_meta/edge_case/1/, 구문오류, 편향주행, enum 값과 일치하지 못했습니다.
18_081320_220624_31.json, /root/Scene_meta/edge_case/, 구문오류, edge_case, 배열에서 항목 #1 의 유효성을 검사하지 못했습니다.
18_081320_220624_31.json, /root/Scene_meta/, 구문오류, Scene_meta, 속성 이름 'edge_case'와 연결된 스키마에 대해 유효성을 검사하지 못했습니다.
18_081320_220624_31.json, /root/, 구문오류, root, 속성 이름 'Scene_meta'와 연결된 스키마에 대해 유효성을 검사하지 못했습니다.
18_081320_220624_32.json, /root/Scene_meta/edge_case/1/, 구문오류, 편향주행, enum 값과 일치하지 못했습니다.
18_081320_220624_32.json, /root/Scene_meta/edge_case/, 구문오류, edge_case, 배열에서 항목 #1 의 유효성을 검사하지 못했습니다.
18_081320_220624_32.json, /root/Scene_meta/, 구문오류, Scene_meta, 속성 이름 'edge_case'와 연결된 스키마에 대해 유효성을 검사하지 못했습니다.
18_081320_220624_32.json, /root/, 구문오류, root, 속성 이름 'Scene_meta'와 연결된 스키마에 대해 유효성을 검사하지 못했습니다.
